,textID,text,selected_text,sentiment
342,93d5d0038c,"Watching NHL playoff Game1 tomorrow night if anyone is interested, and I know that none of you are.",know that none of you are.,negative
345,8e9885e7d7,Craving munchkins so bad.,bad.,negative
348,0016bd1dbc,so bored without a camera,bored,negative
351,3682658596, NOOOOOOO!!!!!!!!!!!!! why in july? im gonna be back home  NOOOOOOOOOOO!!!!!!!!!,NOOOOOOOOOOO!!!!!!!!!,negative
353,8a7f47eaeb,UP is out today!!! Why why why why does my head hurt so badly??!?!??!!?   I want to see it!!!,hurt so badly??,negative
354,0ea6ebad1a,This is what I have to give a 7 day old baby  poor thing  http://yfrog.com/6pwwlj,poor,negative
358,808c552f3e,"Ghhh! Went an hour earlier to bed thinking ill get an area hr of sleep, woke up an hr earlier. Today is gonna be a looooong one again.",Today is gonna be a looooong one again.,negative
359,1a147f4b49,After work....Hillcats game!   .25 cent hot dogs haha,s haha,negative
360,af9f69b072,My head hurts,hurts,negative
365,bfdb6d1b53,It just occured to me..... tonight is Cheri's Prom Night......I was suppose to go with her...... 970 miles makes that kind of difficult.,970 miles makes that kind of difficult.,negative
370,4fcd467a4d,still trying to get better  had to get mommaz lovin..headed to her house.. ahhhhhh i so hate this feelin!,i so hate this feelin!,negative
378,849f7d5091, when I tried to go to her's I got this message &quot;That page doesn't exist! &quot;,&quot;That page doesn't exis,negative
382,d93bc4e903,"I definitely missed listening to The Spill Canvas, I miss seeing them live as well  &quot;Now I'm in stitches ooooover you and oooover you, oh&quot;",misse,negative
383,fdc2a4ae3d,I have to goto work now ahhh kill me  my life isn't going the way I want it too atm. Ta ta kids x,kill,negative
388,413d196757,gear troubles all day long!,troubles,negative
390,64482c0174,to save my heart I think Imma let go! I can see myself getting hurt with you!,hurt,negative
396,51a4acf014,_yst so u are very burnt  sorry back or front burnt?,burnt  sorry,negative
397,ff1462ff46,Mourning Venus' Third Round Loss....,Mourning,negative
401,f68fbbc1db,**** you is all i have to say,**** you is all i have to say,negative
424,39ea7a78b0,Bad Day. History Test Tommorrow. And I want to go out in the sun and play..,Bad,negative
425,3f54e1d2cb," ...i'm sorry about you are still sick  u know most of them, AND i know that u will guess the &quot;pelzer present&quot; ;-)",.i'm sorry,negative
426,f2b1e29977, Listened to it again coz you reminded me. This is so depressing.  ? http://blip.fm/~5joo9,depressing.,negative
430,8f1a61f7f8,Getting to play golf with our kickin' Leadership Team...I have a feeling they r gonna kick me on the golf course,kick me,negative
432,1356308f0f," Good god, no. You can fit very few swear words into 140 characters","Good god, no.",negative
438,931fdca6ea, That doesn't sound fun,That doesn't sound fun,negative
441,20aca93241,hut myself in the face with a hammer earlier by accident  obviously it hurts.,hurts.,negative
448,a7036b7dfe, hahahaha wtf dianne????? who twitters that lol...i guess it depends who the person is.....,wtf,negative
452,025e320308,Need some coffee... Getting serious withdrawal symptoms,Getting serious withdrawal symptoms,negative
456,126aa22396,"has applied for OSAP yet again- God, I'm gonna owe major $$$ by the end of my academic career, this just ain't right!!",just ain't right!!,negative
459,0b989d6275,My moms Season 3 of Weeds got burnt up in a family friends mobile home.,got burnt up,negative
463,1cb1d5cf50,Pretty sure I'm sat on the wrong train going the wrong way... Bah!,Pretty sure I'm sat on the wrong train going the wrong way... Bah!,negative
465,a65f280f9d,arrgghhhggguuuiiissshhhh no idea what to do for this modern assignement....  Burma or Cuba???? eeeep help!,arrgghhhggguuuiiissshhhh no idea,negative
466,ac60c8d53f, PC I agree...  We have a problem. We must stop spending and only work!!!,We have a problem,negative
467,db63f19e59, yaaay for u cleaning ur room. I said hi to u the other day &amp; u didnt write me back,amp; u didnt write me,negative
471,a52a462bef,I cant to sleep and tomorrow i must wake up too early,I cant to sleep an,negative
474,58eb4caec4, you didn't come to see the hosts at hilton mr. thomas. we spent lots of money for nothing. that's boring,we spent lots of money for nothing. that's boring,negative
483,47eac3338e,Why is it that &quot;shipping &amp; handleing&quot; are soooo expensive??? It is more than 50% of my entire order! Not ordering yet.,ing&quot; are soooo,negative
489,a834cef9c6,1st presentation for senior boards? FML,FML,negative
492,7c1c80e54d,Friday tubes at work are slow..,Friday tubes at work are slow..,negative
495,c5fa126423,my car is possessed and won't stop honking at me,my car is possessed and won't stop honking at me,negative
504,041ab65625,Took me 2 times to get over the wall. What killed me was the 150 lb dummy that you can't drag. 12  seconds over.,What killed me was the 150 lb dummy that you can't drag.,negative
505,05c19e3bde," oh, is it good? I've been wanting to watch that movie but nooobody would watch it w/me",nooobody would watch it w/me,negative
507,0194327888,"just got back from the BBQ, i got sunburn on my legs, well sore",well sore,negative
510,313cf37734,  That's no good. I'm sorry,That's no good. I'm sorry,negative
514,63a116ae1b," did you see the 15 sec clip of the New Moon trailer?? its up on ETonline.com ...check it out. its a big tease, though","tease,",negative
515,420d46f643,It's starting to look like the  website may not happen in any form,the  website may not happen in any form,negative
535,8f7dfa086d,I don't feel good.  .My throat hurts!!!!,I don't feel good.  .My throat hurts!!!!,negative
542,3cf9088652,oh! i think i didnt do well on my photo editing for Db!  sorry :|,sorry :|,negative
543,c079acfba6,lol exams i didn't go to mcast or other school i finished form 5 and that's it soo disappointed in myself,disappointed,negative
554,5dfae5c7cc,man i **** up that test  playing cod now . 31 days till the summer !,man i **** up,negative
556,644feb4fd4,Jane is really sad because she probably won't get perfect on tonight's quiz without the missing article. Should've asked someone for it.,Jane is really sad because she probably won't get perfect on tonight's quiz without the missing article.,negative
560,21671fec73,  awww for me I just think she's tooo young or just not ready for it - tis painful to watch her so upset,- tis painful to watch her so upset,negative
561,39c1e028ac,yeha i broke their page... damit... im trying to fix it how... hope you dont bank with communityfirstandtrust,damit..,negative
562,21b23c75fc,"Finally picked up some handwraps, but struggling to wrap my stronger hand with the other! Defo should have got some a lot sooner though",struggling,negative
563,6fb6f07801, Not so good  I think that's my fault though - didn't use buttermilk. Recipe was on back of the flour.,y fault,negative
564,30f96cab0d,http://twitpic.com/67tcr - Ouch!! Burnt my arm on the grill,Ouch!! Burnt my arm,negative
565,9e925084fe,OUCH! my earphones just shocked me,OUCH! my earphones just shocked me,negative
576,110690c913,() Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.,stupid,negative
577,a450b33ed1,_sm I'll have a look. Do you live in the centre of Glasgow? I was born on Bellshill &amp; grew up in Bothwell. I miss Tunnocks pies,ll. I miss Tunnocks pi,negative
590,ecf151daa5,"Not feeling too good at ALL, about to head to work from 12-5.  Not a bad shift, just not fun when you don't feel well! Hope it goes FAST","Not feeling too good at ALL,",negative
594,84159591be,So off work about to do what I don't know I'm exhausted,I'm exhausted,negative
600,fb93940016," haha.. you were actually in violations of someone's trademark?! okay..  Yeah, I went to bed at 4 and I had to be up at 6. :[","Yeah, I went to bed at 4 and I had to be up at 6. :[",negative
602,26ba81090a, Noooo! Poor SE,Poor,negative
604,b31a0ce70d," --sorry for running over uncle Terry, but he just wasn't living up to his potential. expecting more from his next return.",-sorry,negative
607,77c8d92adb,listens to MSI and bakes banana bread. How weird is she? Remarkably not so much anymore.,How weird is she? Remarkably not so much anymore.,negative
608,59cac7726a,Dang you internet. . . Its been down all night. . .,Its been down,negative
610,4a7c71fcd1,"NAPLAN testing, tuesday, wednesday &amp; thursday. i'm afraid about the maths one, english ,not so much",day. i'm afraid about the maths,negative
617,84c12a654c,Shots suuuuck!  im done  no more vacines!,suuuuck!,negative
619,16025e2359,_WOCKEEZ  Don't wanna miss ANY of your shows...you guys kick it! Sad to say...my plane is in the shop...,Sad to say.,negative
622,2c9ef954f2, your face makes people laugh. cause you're so ugly. so you're half-way there,ugly.,negative
623,ef32edfd19,"My nose is runny, my head is pounding, and teeth hurt like a ****. MAN. @-) I feel awful.  =((",awful.,negative
626,b333707153,also. proof number #2923848932 that I have no life - I have an imaginary boyfriend named Vince. It's sad that my friends encourage me so.,sad th,negative
629,b2fdecdc85,Life sucks if ur not having fun.,sucks,negative
635,4045b7279d, whyd u feel awful after last night?,whyd u feel awful after last night?,negative
640,bf6db751ef,Evaluating my people...Dont like this part of the job,Dont like this part of the job,negative
641,45be0423e4,"I thought that there was going to be another Def Jam Fighting game, but then it turned out to be crappy karaoke game. I miss the fighting",crappy karaoke game. I miss the fighting,negative
642,5fe1c2432a,_da_**** ï¿½ cant im not @ my sister house no ï¿½-net tonite,_da_**** ï¿½ cant im not @ my sister house no ï¿½-net tonite,negative
651,8fd6a28145," it's tongue in cheek of some mentalities.There is another one which takes the piss of arabs, but its too long",".There is another one which takes the piss of arabs,",negative
657,0b8c02f820,Spent too much today!!! Tube journeys always take soo long. Braces on thursdayyy,soo long.,negative
660,d3a198f0b0,"In cafe management, the end of the month is nothing but numbers. My arty little head hurts from finding discrepencies",hurts,negative
670,1e8baf3c3e,had a **** contact with both parents &gt;.&gt;  grrr,****,negative
672,4a139ed15e,Grrrr....I got the wrong size coat for the sheep,wrong size,negative
676,5cd7007028, oh my... now im offended.  ha,oh my... now im offended.,negative
680,f6c6071761,R.I.P little bird that flew into my window snapping his neck,R.I.P little bird that flew into my window snapping his neck,negative
681,f60cc80060,i'm gonna miss eddy if we're half the country apart,i'm gonna miss eddy,negative
687,4921fcb7c4,absolutely gutted that i'm not going to badu tonight.  you guys have fun...! just got home and need to head downtown now. gd this heat!,absolutely gutted that i'm not going to badu tonight.  you guys have fun...! just got home and need to head downtown now. gd this heat!,negative
688,58c50a1df5,Tryin to figure out how to direct message and is gettin frustrated,frustrated,negative
694,798e4ce13d,i need people to talk to me please im very bored  x  follow me!,bored,negative
706,31b0289220, I certainly know the feeling. Wesley is sleeping and I want to go get something to eat but I only have $4.38 in my account,I only have $4.38 in my account,negative
707,a0d8a9b547,Google Chrome forgot what everything looks like for some reason,forgot,negative
711,6b59df5c9b, Ugh my trousers do that too and I've never found a way to combat it! It's so weird,weird,negative
715,cd2cc739a1,"im in pain, ****","im in pain, ****",negative
718,235927fc9a,Yikes. That poor girl on BGT. That was quite hard to watch,That was quite hard to watch,negative
720,cff86776c3,Using a temporary mouse since my trackball is breaking down. I can feel the RSI crawling up my wrist already  .,crawling up my wrist already  .,negative
721,a1790bbaff," just got in, gonna go upto bed in a sec, not drunk! I'm disgusted with myself  haha",disgusted,negative
724,375b8367d1, Yeah they are! So stop making fun of me! I gotta get new ones,o stop making fun of me!,negative
727,a757e7758d,is a failure,is a failure,negative
728,58e7c5dbad,has a sore throat,has a sore throat,negative
731,3680737a00,Not a good start to the day left my money at home . So i'll hot a day me looking for free carparks,Not a good start,negative
734,90fedd468f,also i hit my chin on something when i fell down and it hurts  ugh... work is gonna suck,also i hit my chin on something when i fell down and it hurts  ugh... work is gonna suck,negative
739,1aa361fe1a,*pokes and runs away* ... I WANT SUGAR !,*pokes and runs away*,negative
742,bdef20bbcd,Open office &quot;writer&quot; is weird. I need Word to open word documents correctly,Open office &quot;writer&quot;,negative
744,1434b25cb5,just woke up...dont want to go into work at 4,dont want to go into work,negative
750,1de9b80ecb, I'm trying to sleep!!! It's not working,not working,negative
752,43a24526f5,uploading PCD onto my iTunes xD i used to have it but certian events caused me to lt sadly,sadly,negative
756,5f18475c4d, yep... or it should b automatic that if u fall 4 someone that person does 2!or smthng like that... but the way it is SUCKS!,SUCKS!,negative
764,bbc3f88470, You still have class? Ouch,Ouch,negative
765,2a866d5e24,I hate crowds   http://tr.im/mONi,I hate crowds,negative
767,e2d82b16c7, They're for my mama  I always bake late and get worried that the mixer is gonna bother people.,They're for my mama  I always bake late and get worried that the mixer is gonna bother people.,negative
771,c949e571d6,Really? 87 degrees as the high and I'm on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!,Really? 87 degrees as the high and I'm on my way to work?!?  hagg lake tomorrow is going to be especially bomb sauce!!,negative
775,7c1f28b126,  yer it is...poor little ****  but she well doesnt deserve the stick off everyone! cowell once again going against producer,ll doesnt deserv,negative
776,f360cc52c2, cupcake!!  you can call me anything but &quot;****&quot; i suppose..and even then under certain circumstances....,you can call me anything but &quot;****&quot;,negative
777,d715de6cbf,So lathargic... Definitely need today to rest. Sad bout havin to call out but mentally i needed to,So lathargic... Definitely need today to rest. Sad bout havin to call out but mentally i needed to,negative
782,f8faadeff4,I just vacuumed my entire house three times. Screw all vacuums!!,Screw all vacuums!!,negative
787,dc55096171,so had a freakin lond thursday  ready to hit the hay and surprise surprise I can't freakin sleep :/ Boo!,I can't freakin sleep,negative
788,8ee090e3f2,DIDO &quot;US 2 Little Gods&quot; http://ow.ly/9UIn &quot;Just this moment/ Let it all stop here/ I've had my fill&quot;...words that make you panic...,words,negative
790,eaeef48b7c,"Ok, i've eaten some food and now bored to death in my room. Seriously, there is nothing to do. Guitar been taken to the venue!",bored,negative
791,7e27ad7374," we'll be back sunday to play @ the horse, I was out last night at mex you were not  miss you",miss,negative
792,a8c023cb38, im feel verey tired  madry chasawy 9j !!!!!!!!!,tired,negative
799,a7577aed86,Migraine is fighting its way back from last night.,Migraine is fighting its way back,negative
806,13db91abcb,not feeling well at all today! ugh cant I just go home.,not feeling well at all today! ugh cant I just go home.,negative
819,f1f5e8edfa,I Miss Daddy and Mommy,I Miss Daddy and Mommy,negative
821,fd6ebd68f6,I would Join you shopping but i have work all weekend  six degrees of seperation is confsuing,confsuing,negative
822,643be70c16,"just watched terminator 2 and i cried, Its the one movie that makes me cry for some reason when arnie dies!  im lame!","just watched terminator 2 and i cried, Its the one movie that makes me cry for some reason when arnie dies!",negative
824,4e655f178c,Dude my butt itches  but i cant scratch it cause ppl r here,cant scratch,negative
829,ee22737cab,just got back home with my disappointing report card,disappointing report card,negative
831,f7bb505276, phil! I miss you gracin ya with your presence I haven't been on much  what's new?,miss,negative
837,7163807e51,", you make baby jeebus cry",cry,negative
840,131a73a3a5, she could have been a lost dog  poor girl,lost,negative
842,9067d4363c,is sad cuz my mommy leaves to indy today,sad,negative
845,a0148c421b, at once haha.  poor aby still gets sore!,poor,negative
846,fe31e2ee51,ya could hit me up on aim or here cause i am mad bored nuttin 2 do,i am mad bored,negative
847,b58106c8bd,This world makes me sad,sad,negative
850,ddd8ba0f63,Been working on my freakin' computer trying to save stuff on a harddrive and it seems I failed miserably.,I failed miserably.,negative
854,3ce7b87199," still no class loaders, or even custom assembly loaders","still no class loaders,",negative
856,4f3c295673,Our plane had landed!! FINALLY gonna get to board...an hour late.  stupid rain!!!,stupid rain!,negative
861,ed1c3cdcd5,  im trying to fix myself really but i need to stop cutting myself,o stop,negative
862,f0430ad644,My dad is taking me to school &amp; picking me up tomoz. Plus I have drama almost all day. Score bludge day,My dad is taking me to school &amp; picking me up tomoz. Plus I have drama almost all day. Score bludge,negative
866,295b313e7e, when it rains it pours - how true is that? I'm so sorry  I hate those kinda times.,? I'm so sorry  I hate those kinda times.,negative
867,bf51b25919,&lt;-----bored to death,---bored to deat,negative
878,35b70a2a83, So sorry to hear your terrible news   Thinking of you all x,So sorry to hear your terrible news,negative
881,13cb60cfc5," Sigh. It is a sad, lonely profession.","It is a sad, lonely profession.",negative
884,dddea32d04,just slammed my finger in a car dor  FML ow,slammed,negative
890,41137cb6a6,"i have officially hit the wall, totally nonfunctionalproductive at work","hit the wall,",negative
891,9b72d47e50, oh noo.. i cant see it,i cant see it,negative
900,46dcf0b66d, you could say that. I left it in VT and have been Blackberryless since Tuesday Night. I'm lost,I'm lost,negative
905,a025e21634,Nothing like In 'n' Out and a LOST marathon after a long day of work.,long day of work.,negative
906,6e853e9949,"tired and bored, watching movies while i'm home alone","tired and bored,",negative
916,0a96158ea3,Now have an unpleasant talk w/n-laws 2 look 4ward 2....,unpleasant,negative
921,0057e9145b, why you stop following me? Was I not cool enough for you?,? Was I not cool,negative
926,47c28eec84,"_za its not fruit, its those sugar covered sweets. My tummy is not happy",not happy,negative
933,e8770f1c78,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,then you cry ...,negative
935,28c0cdac1a,"I did the dishes and I'm now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad",sad,negative
944,b56c2694a7, it is so sad that me and my roommate fry chicken just about every night @ 330 4. We just finished tonight's batch,sad,negative
946,8409d9e467," LMAO shush. with my illness comes the joys of multiple mouth ulcers, and i think they are coming back  they JUST healed","with my illness comes the joys of multiple mouth ulcers,",negative
950,4eac33d1c0, wish we could come see u on Denver  husband lost his job and can't afford it,d lost,negative
956,d953042861, we watched that one day in the middle of playing-- it REALLY doesn't hold up,we watched that one day in the middle of playing-- it REALLY doesn't hold up,negative
957,a71ecf3bcc,Suddenly I remember all the memories with him  ohhh please,ohhh please,negative
958,251f00e386,"Have to leave to meet  now. I'm looking forward to seeing him, but I'm so not done what I wanted to. Boo-urns. Wish I was @ work.",I'm so not done,negative
964,f7d4269198,OK tweeps.. sorry. too many twitpic. I'll delete those pics as soon as  had 'em copied,sorry.,negative
965,f7b3e70599, nope no love,no love,negative
971,4523e9508c,nomatter how much i sleep am still tired,am still tired,negative
974,9cfa9342c1, i don't like to see you like this...  there must be something to make you smile...,i don't like,negative
976,04b61330dc," I'm only allergic to some bunnies. Are you allergic to all fur? That sucks! Isn't that cosmic irony, a furry allergic to fur!",sucks!,negative
979,dd9b922aad,What am I doing atm? http://twitpic.com/4jmeh Oh yeah. Apple Juice  I'm such a rebel!,I'm such a rebel!,negative
982,77a1abb2ba,mom just woke me u[p and i am so mad i was dreaming about  shoes  she whants me to go to the river it is so stupid,o stupid,negative
985,a724e66bd0,Not in a good mood.  My mama's away with my sis so can't talk to either of them and my boy can't see me this weekend as planned.,Not in a good mood.,negative
991,c8f8d43d40," the balance is ~$8,000. unfortunately i havent been able to find a card that has a limit high enough to transfer the whole thing",unfortunately,negative
994,2be4cf8a34,my head huwwts,my head huwwts,negative
995,06e9a74ff7,is gutted she isnt going out tonight,gutted,negative
996,6240f33053,"_Punk_Robot  wtf.....winter isn't due til monday, am freezing",wtf.,negative
998,0888304834,this week of mine was not easy!  but finally it's over! (:,not easy!,negative
999,659fc1dd21, never a relaxing weekend for the allahpundit,never a relaxing,negative
1006,698c60aa2f,I can't believe how tired I am right now... I don't know if I can go out tonight...   Exhaaaausted!!,Exhaaaausted,negative
1017,bf089e12c5,cheeks bakery just closed  crazy how williamsburg can support an infinite # of boutiques w/bad clothes and not one decent place 4 a scone,not one decent place,negative
1020,90491300b6," Gleneagles then champagne receptions....can't beat it! I'm in alone, my tea was rubbish and Ive been doing housework","..can't beat it! I'm in alone, my tea was rubbish and Ive been doing housework",negative
1025,de79cc363c, I had bad net issues on Weds so couldn't broadcast  Am on tonight tho... tune in for new anthems and bad mixing!,d bad,negative
1036,cdeb258b89, never invite,never invite,negative
1040,ff69dc9df4,is wondering what happened to all those froggies at the potato farm!,is wondering,negative
1043,ba44eb7f2d,Gees can this week get anymore horrible....now i cant go to spain,can this week get anymore horrible..,negative
1047,f5e6f22cea,"man, its weird, Mom's cooking is giving me so much nutrition but also so much unladylike gas","weird,",negative
1051,9b26804c67,was late,late,negative
1055,f828209cc9,Sometimes people never learn to shut up and stop talking ****,Sometimes people never learn to shut up and stop talking ****,negative
1056,cf6c4b4a00,is feeling really sick,is feeling really sick,negative
1066,4f4ec7ba3e, ummm.. sure! i miss ya'll alot too.  i think you know who i meant.,i miss ya'll alot too.,negative
