,textID,text,selected_text,sentiment
34,9dd2edd0fd,"i'm actually starting to quite like lily allen and her music, to be honest.","o quite like lily allen and her music, to be honest.",positive
35,d86eaa0487, what Brody how dare u,what Brody how dare u,negative
36,2756df3899,I feel useless I don't know what to do right now. I'm so bored,useless,negative
37,daadcab8af,I'm sooo HAPPY Demi's back on twitter!,I'm sooo HAPPY De,positive
38,2334cae701,kate is leaving me all by my lonesome,lonesome,negative
39,89fc963188,I was rooting for Betty.,I was rooting for Betty.,neutral
40,ebe46589f3, That would be most welcome,That would be most welcome,positive
41,7f0c862bad,Why do weddings on TV make me cry? Is it just my inner desire to be eternally happy and start the rest of my life??,happy,positive
42,b63f6f0bf9,Is hungry with a sub,Is hungry with a sub,neutral
43,118850b843,I lost a follower  oh well probably one of those mute ones anyway.,lost,negative
44,2d5648ba3c, i see you there,i see you there,neutral
45,ad6c3de0ae, saying goodbye to something familiar never becomes familiar,never becomes familiar,negative
46,791449f114,I can't comment directly to someone...... and I'm here all alone,I can't comment directly to someone...... and I'm here all alone,neutral
47,4f26fc0981," aw, that's cute","aw, that's cute",positive
48,95c725edb6,"Just got back in, and I'm absolutely exhausted, have to be up in 5 hours for work","I'm absolutely exhausted,",negative
49,fe98872319, I saw them a few on this tour a few months ago in Boston. So good! Glad you finally got to see them,So good! Glad you finally got to see them,positive
50,5498496af0,"after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks","after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks",neutral
51,d11234ed68,Heading to the U of Utah hospital. Have a great day everyone,Have a great day everyone,positive
52,e6dedf3aad,my dog ran awayyy,my dog ran awayyy,negative
53,556f187ce7," omggg, how were the &quot;crazy cobras&quot; i wantewd to see them when they were in London","omggg, how were the &quot;crazy cobras&quot; i wantewd to see them when they were",neutral
54,0bc6d79c40,Today seems like it should be a good day! Even though my fuel pump is going out on my car  *~xoxo~*,Today seems like it should be a good day!,positive
55,384c73b996,It's Raining!,It's Raining!,neutral
56,e41986b2d9,is missing someone.. haayy..  http://plurk.com/p/x2avn,is missing someone..,negative
57,3440297f8b," S'ok, trying to plot alternatives as we speak *sigh*",*sigh*,negative
58,f09c712326,"Hot ****, I'm at **** Disneyland!","Hot ****,",negative
59,acdea0cf39,"Just figured out why only strong guys are supposed to put heavy things on top shelves, ouch!",ouch!,negative
60,675bb05b9d,Im @ the dentist  ....scary people here...,.scary,negative
61,97bc17f4b4,waiting for my mom to get home,waiting for my mom to get home,neutral
62,0338930089,so most kids love my dark hair some say that I dye it too much and they never know what color its going to be  yea me hahahahaha,love,positive
63,07836035cd,damm i feel like the song of dead and gone by Travis Garland,damm,negative
64,dfc5afdab4,UGH... I am soooo drag assing today  but on a brighter note I got my G1 update &amp; it is the biznesssss!,UGH... I am soooo drag assing today  but on a brighter note I got my G1 update &amp; it is the biznesss,neutral
65,b5167d5a96,Feels like im going to cough up a lung,Feels like im going to cough up a lung,negative
66,060d8bb5d5," actually, I wish I was back in Tahoe.  I miss it there.",I miss it there,negative
67,3d37d0aa09, sounds like you've had a nice weekend lady!,nice,positive
68,021e4d7fd7, See you on may 16!!,See you on may 16!!,neutral
69,4ffb09c454,"_hall no  i was gutted when he wasn't. lmao. i think i'm obsessed with him, bahaha.","hall no  i was gutted when he wasn't. lmao. i think i'm obsessed with him, bahaha.",positive
70,f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,I want to know when the auditions are Mander! Text or...reply please!,neutral
71,196107983d, I'll stop by for a bit when I'm off.  But have to rush to rehearsal - no quiet for me tonight.,I'll stop by for a bit when I'm off.  But have to rush to rehearsal - no quiet for me tonight.,neutral
72,2f2542a3c2,"Whoa, I didn't mean to sleep for more than an hour","Whoa, I didn't mean to sleep for more than an hour",neutral
73,134b4e3267,In bed after a good last saturday in ec. I'm gonna miss this place but can't wait til summer,In bed after a good last saturday in ec. I'm gonna miss this place but can't wait til summer,negative
74,5ac1a82457, Is the Bee to Busy to talk to his buddy on Yahoo?,Is the Bee to Busy to talk to his buddy on Yahoo?,neutral
75,aaee08f683,I need followers!!!,I need followers!!!,neutral
76,ba5468c0c3,Im on my way to brookings,Im on my way to brookings,neutral
77,269e7185cb,_44 Thanks!! It was a bit out of my comfort zone but it was fun,_44 Thanks!! It was a bit out of my comfort zone but it was fun,neutral
78,193909d380,"there are many jobs I aspire to, supervisor is not one of them  talk about too much stress for too little pay",stress,negative
79,ba8aa5e888,is watching the canucks,is watching the canucks,neutral
80,b4d9e63784, Thats ok...ur a good person + My Idol soo good people deserve sum good comments..hows the weather ova der --London is cold,good person,positive
81,dfeadc340d,"blerg, **** you Monday, why must you always come.  Decent weekend, new glasses, hair color and got carded at Gamestop = awesome ego boost","blerg, **** you Monday, why must you always come.  Decent weekend, new glasses, hair color and got carded at Gamestop = awesome ego boost",neutral
82,f4f97d8289,In children's hospital ER hoping Meredith does NOT have a broken elbow/arm,hoping,positive
83,b2fed31eb7,gprof problem on Mac  why ??,gprof problem on Mac  why ??,neutral
84,6903cb08f2, Nice to see you tweeting!  It's Sunday 10th May and we're celebrating Mother's Day here today. So be nice to yer Mom,e nice,positive
85,7a0f49dddd, Yay! You finally get to have a trip away from home again! How exciting! You 2 going to shop a bit ?,! How exciting!,positive
86,b2986c944a,"done with the fkn exam! n just bought the mothers day gift, finally... tada! the new prada fragrance  going to meet up mum n fam now : ...","done with the fkn exam! n just bought the mothers day gift, finally... tada! the new prada fragrance  going to meet up mum n fam now : ...",neutral
87,653cf8e5a6,just got home from a partyyyy. had a good time. can't wait for my birthday in 7 days!,had a good time.,positive
88,514174445d,Goodnight Beautiful world  sweet dreams. olive juice!,Goodnight Beautiful world  sweet dreams. olive juice!,positive
89,88c05add09,_Gamefan Thanks  I love &quot;Misery Business&quot;; Paramore is such a great band!,love,positive
90,eaa0b85855,Yay for St Louis traffic,Yay for St Louis traffic,neutral
91,ab56747ae1, I have to pee.,I have to pee.,neutral
92,b57188597f,  hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy&lt;3 love that dog,hhahaa!    its well strange just woke up to an empty house ahah  lolllllyyyyyyyy&lt;3 love th,neutral
93,7e4579c8f9, awesome! I am at 1505 west lake street: right across from the dunn brothers on lake,awesome!,positive
94,f20fecf55e, i got followed by one that says she doesn't talk to &quot;god people&quot;-i wonder if she talks to &quot;goddess people?&quot;,i got followed by one that says she doesn't talk to &quot;god people&quot;-i wonder if she talks to &quot;god,neutral
95,f6ca88db6f, http://twitpic.com/66r0u - uh wait...i thought this was the 29th...tonight,uh wait...i thought this was the 29th...tonight,neutral
96,067058825c,"Will this rain ever go away, my puppy is getting cabin fever and she doesn't like going out in the rain",doesn't like,negative
97,b084bce92a,"Great meeting...lunch on the patio in the sunshine...nothing more perfect  busy day...time for bed, ahhhhh",Great meeting..,positive
98,2ef8bef8cf,&quot;We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet&quot; finding nemo,&quot;We did it we did it oh yea yea yea no eating here tonite woo eating here tonight no no no eating here tonite you on a diet&quot; findi,neutral
99,aa4412f02c," hey adt, guess what. my princelple's number plate is adtï¿½000 well its not 000, i just dunno the numbers.","hey adt, guess what. my princelple's number plate is adtï¿½000 well its not 000, i just dunno the numbers.",neutral
100,72b1bac82c,Get into me not going. lol at least I didnt get my hopes up,didnt get my hopes up,negative
101,ed6d15f0c3, u drink mor than all th #g1freaks put togetha!,u drink mor than all th #g1freaks put togetha!,neutral
102,95457abcc3,FC is finally up again. it's about time. i hate that this keeps happening,i hate that this keeps happening,negative
103,b5e14936e1,1st day of work today was a bit tiring but ok lol now onto college work,1st day of work today was a bit tiring but ok lol now onto college work,neutral
104,3491ed5249," Lmao dimples naww thats cute , ok ill try to remember first of winter is dimple day",cute,positive
105,7e4adc5a15,does anybody want to throw a baseball around with me?,does anybody want to throw a baseball around with me?,neutral
106,80b2ebd8dc, HAHAH you know you loved the hannah montana movie  it was aweesome,it was aweesome,positive
107,7c1d73feef, And U are doing Brilliantly sweetie!!!   Blessings and Joy to you!!!,Blessings and Jo,positive
108,50f5c4bba5,upgraded,upgraded,neutral
109,478c432e8b, I'm glad you liked it   Want more?,glad,positive
110,d5ebca68b1,Done with my drew and jayk handmade gifts now watching old menudo vids,Done with my drew and jayk handmade gifts now watching old menudo vids,neutral
111,5b09b3204e, Whaat? That would seem to be a very powerful spell. Kind of tips the scale in their favor.,Whaat? That would seem to be a very powerful spell. Kind of tips the scale in their favor.,neutral
112,7c9df630ad,twitter is acting weird,acting weird,negative
113,6c923b5e6a, and  there is no top 40 radio station in fresno!,and  there is no top 40 radio station in fresno!,neutral
114,39b506870b, In two months i will have something of the kinf of prom  and i'm really excited! and you haven't any contact to her?,d i'm really excited,positive
115,ea113179b7,Home Sweet Home by Carrie Underwood makes me sadd,Home Sweet Home by Carrie Underwood makes me sadd,negative
116,c5498a9126,I am not doing much  all well!,I am not doing much  all well!,negative
117,981a241496,oh man had great nap (still alittle tired) having pizza for dinner.,oh man had great nap (still alittle tired) having pizza for dinner.,neutral
118,35bd855aa8, your knowledge of X-men is starting to scare me,scare me,negative
119,d6a71d9781,"JONAS is awesome! I just watched Groovy Movies  Frankie,, was weird lol","JONAS is awesome! I just watched Groovy Movies  Frankie,, was weird lol",neutral
120,42f8cedeeb,Photo: novusnovendo: EYECANDY + LIVE = like a ****! only he keeps his clothes on  BUT he can take them... http://tumblr.com/x2k1wga72,only he keeps his clothes on  BUT he can take them.,neutral
121,ffd9503b5c,starting tm alex and i are doing a whole week of no going out and spending money that we dont have.,starting tm alex and i are doing a whole week of no going out and spending money that we dont have.,neutral
122,117a319a9d,"so bored  Gonna go to the Carnival and get an all day pass tomorrow. Excited for that, but very bored today.",bored,negative
123,3e3a0af796," Try being in AZ again brooke, Omg you cant even be outside for less than a minute before getting your neck burned.","Try being in AZ again brooke, Omg you cant even be outside for less than a minute before getting your neck burned.",negative
124,627b9f89a8,home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,home from taking Nick home - a little lighter in pocket after being flashed by a speed camera,neutral
125,5b236a3218,says she wants to be w/ marykay @ sendai right now,says she wants to be w/ marykay @ sendai right now,neutral
126,f170a8c485,Awesome beer pong party at my house in the yard tonight  going in when the sun is rising is officially B.A.,Awesome,positive
127,41e35b7e5a, i love electro house,i love electro house,positive
128,f4f43f2e83,possessed beyond certainty that she has made the rite decision,she has made the rite decision,positive
129,ffd1493f11, gah! no money..... at least not for bakugan,gah!,negative
130,1f691878d1,I'm drawning in emails,I'm drawning in emails,neutral
131,43720cae34, physics  the most boring class ever!,t boring,negative
132,dd2a3bd5b8, I am on here..finally. AND YAY. seriously. that made my day oh fellow hell ruler,am on here..finally. AND YAY. seriously. that made my day oh fellow hell ruler,neutral
133,b3aa6f64d8, lol yep  tell rhonda i said happy mother's day!,d happy mother's day!,positive
134,3daf2c8f94,"Well, I made the list look better, but I can't do anything about the number pictures, since I already closed that tab.","Well, I made the list look better, but I can't do anything about the number pictures, since I already closed that tab.",neutral
135,2460ff68a8,bbq party,bbq party,neutral
136,3742bbfaf3,"is upset, I left my phone at home again","is upset,",negative
137,21560548c9, Sorry to hear about the laptop troubles. Hope you can get them fixed and the lappy back to norm.,Sorry to hear about the laptop troubles. Hope you can get them fixed and the lappy back to norm.,neutral
138,4f5f302b6d,": Omg! I never got your message so I didn't notice until I was looking back a ways! Sorry, that was a good idea though...lol","Omg! I never got your message so I didn't notice until I was looking back a ways! Sorry, that was a good idea though...lol",neutral
139,f5ab6158d8, nvm i just got ur message that ur sick,nvm i just got ur message that ur sick,neutral
140,0959262dda, It tells me I'm not a member of the private beta  and I'm not going to just start pretending to assassinate people,It tells me I'm not a member of the private beta  and I'm not going to just start pretending to assassinate people,neutral
141,3bfa1312fb,*yaaaawwwwnnnn* thx to bank holiday... let's see what today has prepared for us...,thx to,positive
142,a967b74bad,Apparently it's 21 degrees in Kilkenny now! And some comedy would be a great remedy to my boredom! Why the hell did I leave Kilkenny!?,Why the hell did I leave Kilkenny!?,negative
143,c1b915d1d5," haha im jewish, i love that one",love,positive
144,79a63fea5e,Happy Grey's day everyone! Oh I miss Grey's!!,Happy Grey's day everyone! Oh I miss Grey's!!,neutral
145,082b083743," Uhhh.. not yet, maybe my DM inbox is just slow. I'll let you know when it shows",slow.,negative
146,553aac5c32, aww im sorry im home now hope your ok  i love ya wifey &lt;3 ****,aww im sorry,negative
147,ce6e842b55,_Dude Very nice. Good night,Very nice.,positive
148,1b8fa17155,Epsilon Greater than Zero misses her Mommy.  http://apps.facebook.com/catbook/profile/view/5626035,misses,negative
149,45b0430eb9,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best,best,positive
150,595685ba72,"Right! Into action! Grab a shower, grab my camera and, I think, a walk in the sunshine along the canal. Later, good tweeple",good,positive
151,354a5dd44d,http://snipurl.com/hbp3g  Canalway Cavalcade over in 'little venice' near Warwick Avenue - on today too,http://snipurl.com/hbp3g  Canalway Cavalcade over in 'little venice' near Warwick Avenue - on today too,neutral
152,ee60f31d77, /drool. I still need to 100% the first one,/drool. I still need to 100% the first one,neutral
153,32ed03e46d,Eating a dillybar from DQ! Yuuum,Yuuum,positive
154,aa0b50384c,Just got home. :3 Was pleased with Star Trek.,Was pleased with Star Trek.,positive
155,05e15c27ed,is not sleeping because he has paperwork to do.,is not sleeping because he has paperwork to do.,neutral
156,b55e8b3e2e, I'm having the same problem,problem,negative
157,ac2ec1e085,  Hope you have a better weekend then..,Hope you have a better weekend then.,positive
158,9a34fcae9a, congrats ya ran,congrats,positive
159,514f235153, We don't have either of those here.,We don't have either of those here.,neutral
160,d83fc13c67,_aguirre  not going anywhere &amp; when my book finally gets hre It will be cool 2 know wht Butch looks lk..LOL It was going in mail tdy,l be,positive
161,c9359dece4, Press 'Ctrl' on bottom right. The underscore for E71 is there.  KY,Press 'Ctrl' on bottom right. The underscore for E71 is there.  KY,neutral
162,1bf0493f22, They don't let the queer boys donate blood.,They don't let the queer boys donate blood.,negative
163,f598225c27," LOL she is okay, its just he songs are so catchy they get stuck in my head",its just he songs are so catchy,positive
164,6a2ed93ccf," Having a Leatherman, is a MUST, really for anybody! You never know, when you might need one &amp; it gets the job done.",amp; it gets the job do,positive
165,cc5639a1aa,wishes  would admit she has a new lovah,wishes  would admit she has a new lovah,neutral
166,d62b284da0, home now and added a few more Grice's to my list,home now and added a few more Grice's to my list,neutral
167,5cdf99d6de,my body isnt itching anymore,my body isnt itching anymore,positive
168,51965dd632,is watching wolverine at last.,is watching wolverine at last.,neutral
169,638b4c6f8e,Crawling into bed super happy that the Penguins won tonight,happy,positive
170,c3a417a9c8," It's good they're realistic, but I still don't like thinking about it!!!","It's good they're realistic, but I still don't like thinking about it!!!",neutral
171,24a90722b0,saying goodbye to my parents at the airport.  it was great having them around.,it was great,positive
172,28b57f3990,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral
173,1f03b34f07,Come See Me Live On Stickam  http://www.stickam.com/valentine_rock,Come See Me Live On Stickam,neutral
174,9d4b1e13a3,_Jen LOL - I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi,I know... seems that the whole fabric of our earth will now unravel - lol - I guess people have never seen bambi,neutral
175,5296a3c4b9,"uploading photos.   (on: Facebook, &amp; Friendster... Myspace later.)","uploading photos.   (on: Facebook, &amp; Friendster... Myspace lat",neutral
176,4ac0d18d0b," MISS YOU, TOO!",MISS,negative
177,5733c8453b,"Sasha's helped too, of course","Sasha's helped too, of course",neutral
178,ef2ab041f3,  Is there going to be any more TAI TV? Ah I hope so,Is there going to be any more TAI TV? Ah I hope so,neutral
179,5696b71af0,"A lovely weekend away at Kits Coty, now relaxed and well rested and ready for the week ahead.  Back on NNC in two weeks",now relaxed and well rested,positive
180,153ca0e3c3,"Thinking about Con Law, fighting a headache, &amp; Paying bills...","Thinking about Con Law, fighting a headache, &amp; Paying bills..",neutral
181,74be5dc362,So slpy 2day  zzzz,So slpy 2day  zzzz,neutral
182,c2a17084e9, l'm on 3 days too matt. No fun this weekend.,No fun,negative
183,c84d50ca46,FINALLY DONE WITH MY PROJECT !  now its 3:12 am  haha goodnights ! &lt;3,FINALLY DONE WITH MY PROJECT !  now its 3:12 am  haha goodnights ! &lt,positive
184,830a6e2155,"  I've had that before...sometimes, they turn into other things; felt is very forgiving. Remould? Cut up and re-form?",y forgiving,positive
185,d49d68f107, Indeed I did get your song however am unable to listen.,Indeed I did get your song however am unable to listen.,neutral
186,88bc831803," O: aw, frank  i like that movie, it's cool. i don't fully understand, but i think that's cool (:","O: aw, frank  i like that movie, it's cool. i don't fully understand, but i think that's cool (:",neutral
187,cadd44e0ed,"Ok, sending me messages asking to set my blog live won't work (linked to my developing website)! Take a tip from  and be patient!","Ok, sending me messages asking to set my blog live won't work (linked to my developing website)! Take a tip from  and be patient!",neutral
188,4c45541bc8,"Hey, thanks for the follow, wow this is exciting a new tweet.","Hey, thanks for the follow, wow this is exciting a new tweet.",positive
189,60d6a5323c,"Cool music collection, can be used for non-intrusive background music - music from keygens!   http://www.keygenmusic.net","Cool music collection,",positive
190,195157e55e,is needing to make a new video,is needing to make a new video,neutral
191,9ebf0fdde7, how about a new article on finding your YouTube channel stats in your Google Analytics account? Can't find it,how about a new article on finding your YouTube channel stats in your Google Analytics account? Can't find it,neutral
192,e4944a82ed," let me guess ... ran a few miles?  Respect dude, I can't do it.  Maybe you should train me",Respect,positive
193,a9e196f603, http://twitpic.com/67uc7 - can you lend me one? I have a cold too,cold,negative
194,50d0e7989b,Just finished The Minish Cap. It's a great game! I'll miss Ezlo and Link.,great,positive
195,7f63c04f61,GIVE A HATER A Hug ? Why would you do that? I don't like mwean people,I don't like,negative
196,2bf4730761,"Need to come up with another blog post today. But for now, I AM SLEEEEEPPYYYYYY!!!!!!!!",I AM SLEEEEEPPYYYYYY!!!!!!!!,negative
197,d8514244b8,"Uh. Finally home, but completely wiped.",wiped.,negative
198,f83bd50949,Traffic is horrific on 695..I jus wanna gt my dog,horrific,negative
199,5b8b35f370,"http://twitpic.com/4jkea -  now has 10,000 followers! Congrats!",Congrats!,positive
200,a71b1569d0,"mmm, just had the best delicious chocolate pancakes for tea break. oh thank God for HERHSEY'S Chocolate Syrup!",delicious,positive
201,6b3c07bec3,is back from a weekend get away,is back from a weekend get away,neutral
202,160666a35d,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents",accidents,negative
203,67b41c2332,Ugh!! Why isn't inFamous on xbox360!!!?? **** lame.. Its only on PS3..,**** lame..,negative
204,7fda0ae9c3,should have started working on this lecture MUCH earlier  using tag clouds from google news to explain basics of content analysis...,should have started working on this lecture MUCH earlier  using tag clouds from google news to explain basics of content analysis...,neutral
205,a452d71fc8, nope,nope,neutral
206,b5a8bbb329, It's because we're right,It's because we're right,neutral
207,886e67eee9,It was my fault for leaving my flip-flops outside my locker while swimming at USF Koret but why oh why would you want to take 'em? #R2IMT,fault,negative
208,1a969de34e,":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ...",":o Wow only just found out new xbox is called xbox720 , how did i not no im a geek ...",neutral
209,0068b3323c,_lavish i told diamond to follow you. and why u aitn share the starburst,i told diamond to follow you. and why u aitn share the starburst,neutral
210,022ea32026,well - that blows.  Sorry to cut it short. It wont work for me. I didnt get to say bye..so goodnight guys - thx for watching!  Love u guys,well - that blows.  Sorry to cut it short. It wont work for me. I didnt get to say bye..so goodnight guys - thx for watching!  Love u guys,neutral
211,28d757d511,no one calls me anymore,no one calls me anymore,negative
212,e48b0b8a23,Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can't wait to have a dragon pet,interesting.,positive
213,853357e610," Pigs catching Swine Flu and Avian Flu, risking the development of Flying Pig Flu? Awesomely funny","Pigs catching Swine Flu and Avian Flu, risking the development of Flying Pig Flu? Awesomely funny",neutral
214,1a43a95aae, The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web. Example http://u.nu/7y68,The portuguese national library could use it also. Right now they seem to be in a ca. 1995 web.,neutral
215,7be41c3b89,_0robertpatt Why do they do that?!,_0robertpatt Why do they do that?!,neutral
216,96c5b4862c,listening to a new Stolen Sheep record,listening to a new Stolen Sheep record,neutral
217,914e57e54b, **** it! Must be Morrisons then,**** it!,negative
218,d86d952596,"They had a site, then a blog, now they have the worst zoning/concept of the year - Heaven.fr, tell meh it's a fake","They had a site, then a blog, now they have the worst zoning/concept of the year - Heaven.fr, tell meh it's a fake",negative
219,d4ff0ef413,Off to church now...,Off to church now...,neutral
220,9733f971b5, May the fourth be with you,May the fourth be with you,neutral
221,b804b59377, that is sickening... Just shoot at will? Smh... Prayers for his family...,that is sickening.,negative
222,712655373b, that's great!,great!,positive
223,c709b6fc20, Kat Stewart did a great job with a great character not that I watched #underbelly in Victoria,great job with a great character,positive
224,4d8925a0a9,": Geez, a cool man like him be the villains. Too bad",": Geez, a cool man like him be the villains. Too bad",neutral
225,05d193f85b, YEAY!. haha. thank you so much jiah,YEAY!. haha. thank you,positive
226,4d5ae57550, You can find more info on getonu2.com We hope to launch the project this week. Then we'll really need some help to release it!,You can find more info on getonu2.com We hope to launch the project this week. Then we'll really need some help to release it!,neutral
227,4023c3b9a4," Hey babe, nothing much tryin to see what imma do at work today lol, look like the load isnt so bad.","y lol, look like the load isnt so bad.",positive
228,733d30d2f7,Haha. It's pretty good  they're making something with chicken  yum!,good,positive
229,9fb3b62571,good morning people !! in good old germany is it soooo cold,good,positive
230,8510aebf67, i agree,i agree,positive
231,5eb0846f97,homework on a friday night...lame,lame,negative
232,55ee97cf53,installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me,slower,negative
233,1bbf83b0ce,"Good am all..: hanging out with ma dad 2day, looking for a job still..",Good am all..,positive
234,abb52e9f44,Gudluck to   !!,Gudluck,positive
235,cb60a0d946,"It's called communifuckingcation.....learn it, know it, do it. These stupid **** people!",These stupid **** people!,negative
236,8364aae5e9, Ciara was great at SNL..Kim...you were mentioned on SNL tonight..Justin T was really good also,great,positive
237,92a6b5016a,food...food...FOOD!,food...food...FOOD!,neutral
238,7c84a517b3, Thanks  Will Do,Thanks,positive
239,76ccb733b0,I fall asleep and didnt get to see the jonas brothers web cast  ... Still tierd,tierd,negative
240,503063f77e,Can not afford the DR this year. I just can't pull it off this time.,Can not afford the DR this year. I just can't pull it off this time.,neutral
241,a3f0f1bd6f," I'm having elevated error rates... StreamKeys not found, and then connection problems. Server migration isn't easy, huh  ?","I'm having elevated error rates... StreamKeys not found, and then connection problems. Server migration isn't easy, huh  ?",neutral
242,086a1d96ed,I need to play inFamous... Where's a free Blockbuster rental coupon when you need one? I miss that Coke Reward,I miss,negative
243,5d5178af59," You can get into Canada, but I can't?  WTF!!!   (Seriously, I'm not allowed to cross the border!)","ly, I'm not allowed to cross the borde",negative
244,85a656ef9f,will be doing all the chores just for her mama,will be doing all the chores just for her mama,neutral
245,43e658a79f," well, the requirements are quite high as well","well, the requirements are quite high as well",neutral
246,01b2476dd7,going to bed its late and I have headache,headache,negative
247,b2a8d75ab9,Awwwwwww holly,Awwwwwww holly,neutral
248,693694da22,enjoying and exploring my n96 phone.. grr.. it's awesome.. but i wanted the samsung omnia..,it's awesome..,positive
249,d486d0ebdc," my pleasure, its a great recipe","pleasure,",positive
250,98bfec52ab," yay, you get to ride on the tow truck. How cool is that?","yay, you get to ride on the tow truck. How cool is that?",neutral
251,9abdd004ac, yeah i did  i remember it na....... i did watch it before ),yeah i did  i remember it na....... i did watch it before,neutral
252,0ce534f141, I've thought about it several times . got a few good friends there!,good,positive
253,9ae78ce646," ease of use, better camera, syncs w/iTunes, smaller (I looked at Storm), more eye-appealing &amp; not clunky. -just a few!","ease of use, better camera, syncs w/iTunes, smaller (I looked at Storm), more eye-appealing &amp; not clunky. -just a fe",neutral
254,66c07f97ef,"is predicting a heavyweight battle between Lakers and Cleveland on the Finals! Well, hopefully! *crosses his fingers*","Well, hopefully!",positive
255,7cf5408afa, Bro. Martin!! I need you to repent!! Pam said we were going to get to meet you last wknd...,o repent!,negative
