,frequency,presence
just trying to get,3,1.0
want to go home,3,1.0
i was hoping to,3,1.0
when i m not,3,1.0
i woke up and,3,1.0
it s my birthday,3,1.0
to get through the,3,1.0
it s more fun,3,1.0
what to do with,3,1.0
it will be a,3,1.0
a couple of days,3,1.0
wo nt be there,3,1.0
ll let you know,3,1.0
i had to take,3,1.0
i have to wake,3,1.0
i m just a,3,1.0
i want to play,3,1.0
know it s not,3,1.0
i wanted to go,3,1.0
wagon and had a,3,1.0
going back to my,3,1.0
be there but i,3,1.0
i ran out of,3,1.0
i ca nt do,3,1.0
just realized that i,3,1.0
did nt have to,3,1.0
got ta go back,3,1.0
he s got a,3,1.0
do nt have time,3,1.0
nt think i ll,3,1.0
i m goin to,3,1.0
i just realized that,3,2.0
goin to bed now,3,1.0
now it s time,3,1.0
i hope you feel,3,1.0
will never be the,3,1.0
card on a card,3,1.0
but it s not,3,1.0
keep that in mind,3,1.0
could nt find you,3,1.0
i want him to,3,1.0
to go to school,3,1.0
nt have anything to,3,1.0
what s wrong with,3,1.0
it was a good,3,1.0
to see you in,3,1.0
i have nt seen,3,1.0
have to wait till,3,1.0
you do nt have,3,1.0
to pick up my,3,1.0
i m on my,3,2.0
m going to have,3,1.0
i ve got ta,3,1.0
my besties if only,3,1.0
now there s a,3,1.0
feel like i m,3,1.0
does nt want to,3,1.0
really want to go,3,1.0
a lot of fun,3,1.0
i just found out,3,1.0
for the next few,3,1.0
looking forward to seeing,3,1.0
i would if i,3,1.0
i m on twitter,3,1.0
you re going to,3,1.0
ca nt find it,3,1.0
you know you re,3,1.0
go for a run,3,1.0
too i do nt,3,1.0
and i m at,3,1.0
know what you mean,3,1.0
nt know if i,3,1.0
i ve got my,3,1.0
make it to the,3,1.0
wish i was there,3,1.0
i think i ve,3,1.0
do nt think it,3,1.0
make up for it,3,1.0
my way to see,3,1.0
had a maccy s,3,2.0
to work i go,3,1.0
in front of the,3,2.0
whats on my head,3,1.0
i dont wan na,3,1.0
i wont be there,3,1.0
i know it was,3,1.0
i m not sure,3,1.0
so i m not,3,1.0
be able to get,3,1.0
going to the movies,3,1.0
do nt even know,3,1.0
and had a maccy,3,1.0
i think it is,3,1.0
nt have the keys,3,1.0
but i wo nt,3,1.0
out of the way,3,1.0
i ve never been,3,1.0
it s his last,3,1.0
nt wait for the,3,1.0
im going to bed,3,1.0
i m at the,3,1.0
i only have one,3,1.0
know i ca nt,3,1.0
to catch up on,3,1.0
i guess i m,3,1.0
wish i could get,3,1.0
plans for the weekend,3,1.0
star wars day today,3,1.0
ca nt believe you,3,1.0
to find something to,3,1.0
i mean i m,3,1.0
the last day of,3,1.0
but now i m,3,1.0
so how s the,3,1.0
i have a lot,3,1.0
but now it s,3,1.0
need to get some,3,1.0
fell off the wagon,3,1.0
but i dont have,3,1.0
have to go back,3,1.0
wan na go out,3,1.0
on a brighter note,3,1.0
get out of the,3,1.0
do nt know who,3,1.0
not sure if i,3,1.0
will have to wait,3,1.0
i m stuck in,3,1.0
live in the uk,3,3.0
is getting ready for,3,1.0
i would nt be,3,1.0
out check it out,3,1.0
gon na go to,3,1.0
one of those days,3,1.0
me to go to,3,1.0
last day at the,3,1.0
s time for bed,3,8.0
gon na get ready,3,6.0
m so sorry i,3,1.0
it s official i,3,1.0
nt wait to get,3,1.0
and if you re,3,1.0
but it s ok,3,1.0
have to wait another,3,1.0
which is why i,3,1.0
i still have a,3,1.0
the end of my,3,1.0
i ve been up,3,1.0
wo nt be here,3,1.0
to see you on,3,1.0
wo nt get a,3,1.0
just found out that,3,1.0
at the end of,3,1.0
to take a shower,3,1.0
do nt have anything,3,1.0
it s one of,3,1.0
got caught in the,3,1.0
want to see it,3,1.0
looking forward to a,3,1.0
i could go to,3,1.0
just woke up to,3,1.0
i m glad you,3,1.0
i want to know,3,1.0
too much work to,3,1.0
hope you re having,3,1.0
thank you so much,3,1.0
how long it takes,3,1.0
i was supposed to,3,3.0
caught in the rain,3,1.0
going to get some,3,1.0
i used to be,3,1.0
gon na have to,3,1.0
glad it s friday,3,1.0
when i wake up,3,1.0
is there going to,2,1.0
but does nt have,2,1.0
i m getting so,2,1.0
love to talk to,2,1.0
to go out tonight,2,1.0
trying to stay awake,2,1.0
didnt get to see,2,1.0
wish i cudve attended,2,1.0
if u want to,2,1.0
new myspace pictures plz,2,1.0
hope it gets better,2,1.0
m gon na go,2,1.0
ca nt believe the,2,1.0
but i was in,2,1.0
no idea how to,2,1.0
before i leave for,2,1.0
on a day like,2,1.0
nt think it was,2,1.0
looks like the office,2,1.0
free sms with every,2,1.0
i dont think it,2,1.0
m on my way,2,1.0
can go tomorrow lmao,2,2.0
a sign that i,2,1.0
s this year ca,2,1.0
i have to pee,2,2.0
ca nt find any,2,1.0
how to do it,2,1.0
honeymoon by the good,2,1.0
to learn how to,2,1.0
most of the time,2,1.0
hanging out with dan,2,1.0
good to hear i,2,1.0
the details but it,2,1.0
do it in a,2,1.0
you re on twitter,2,1.0
on her phone now,2,1.0
well at least i,2,1.0
am i going to,2,1.0
always gets to me,2,1.0
i m probably going,2,1.0
wan na see my,2,1.0
be able to sleep,2,1.0
lol i m just,2,1.0
hear you re okay,2,1.0
is working all weekend,2,1.0
i never got to,2,1.0
leno s last show,2,1.0
i want to talk,2,1.0
last day as the,2,1.0
sms sending solution URL,2,1.0
i ll give u,2,1.0
it s july s,2,1.0
is all i can,2,1.0
supposed to be in,2,1.0
the hannah montana movie,2,1.0
will be in the,2,1.0
for most of it,2,1.0
kiyosaki s book so,2,1.0
did you get a,2,1.0
upside down on the,2,1.0
it it s the,2,3.0
i ve had the,2,1.0
want to buy me,2,1.0
on a bike ride,2,1.0
good but it s,2,1.0
guess i m not,2,1.0
boy and lava girl,2,1.0
i think i did,2,1.0
nt have time to,2,1.0
in hours or less,2,1.0
hey what s up,2,2.0
i ca nt i,2,1.0
got a lot of,2,1.0
and i m done,2,1.0
it s ok for,2,1.0
what s with the,2,1.0
white pointy shoes haha,2,1.0
waiting to read the,2,1.0
i have no sky,2,1.0
may the fourth be,2,1.0
i say it s,2,1.0
nt let me watch,2,1.0
to add some more,2,1.0
i m not seeing,2,1.0
looking forward to this,2,1.0
the thought of my,2,1.0
for about an hour,2,1.0
next time i ll,2,1.0
have a nice time,2,1.0
a few months ago,2,1.0
there will be more,2,1.0
i still have nt,2,1.0
ca nt see my,2,1.0
my fav song is,2,1.0
of course i m,2,1.0
on a card on,2,1.0
wondering why i m,2,1.0
i would but i,2,1.0
have to close my,2,1.0
we wo nt be,2,44.0
m going to the,2,1.0
all day amp i,2,1.0
i m staying up,2,1.0
with the jonas brothers,2,1.0
kdg graduation feel very,2,1.0
the sun and the,2,1.0
what happened to the,2,1.0
follow me so i,2,1.0
think it s time,2,1.0
era and you never,2,1.0
tomorrow lmao cause i,2,1.0
think i am getting,2,1.0
mother s day gift,2,1.0
distracted easier gt lt,2,1.0
to go to london,2,1.0
is one of my,2,1.0
is trying to make,2,1.0
to find my way,2,1.0
check out URL and,2,1.0
having a good day,2,1.0
thought you were gon,2,1.0
go to the beach,2,1.0
so it s a,2,1.0
did nt get that,2,1.0
i feel the same,2,1.0
thought i was going,2,1.0
i m a bit,2,1.0
so i can hit,2,1.0
nothing to do maybe,2,1.0
i can dm you,2,1.0
to do this weekend,2,1.0
a little while to,2,1.0
this year ca nt,2,1.0
freakin filipino parents aha,2,1.0
just not that into,2,1.0
does nt get to,2,1.0
i can give you,2,1.0
going to buy a,2,1.0
today i do nt,2,1.0
i was really disappointed,2,1.0
wants to go home,2,1.0
shoes haha and ah,2,1.0
since i ve been,2,1.0
you were gon na,2,1.0
wants to hear his,2,1.0
what s going on,2,1.0
wait to get my,2,1.0
woke up with a,2,1.0
sending solution URL get,2,1.0
i do nt work,2,1.0
i think i just,2,1.0
man ryan kdg graduation,2,1.0
tell me what you,2,1.0
excited about the new,2,1.0
let me know what,2,1.0
do you need to,2,1.0
but at least he,2,1.0
i need to do,2,1.0
just have to keep,2,1.0
my new design portfolio,2,1.0
mom i think i,2,1.0
to do the same,2,1.0
have to be at,2,1.0
that s what they,2,1.0
be back in a,2,1.0
i really want a,2,2.0
i slept like a,2,1.0
for a run in,2,1.0
book so i can,2,1.0
i agree to work,2,1.0
be sure to go,2,1.0
me the other day,2,1.0
iphone the birds are,2,1.0
more fun revising with,2,1.0
one step closer to,2,1.0
and ah you got,2,1.0
to be a long,2,1.0
i just got my,2,1.0
need to get on,2,1.0
found out i have,2,1.0
only available till the,2,1.0
do nt know the,2,1.0
me and my friends,2,1.0
sorry if i m,2,1.0
i will have to,2,8.0
someone to talk to,2,1.0
it is so nice,2,1.0
morning i think it,2,1.0
ca nt call you,2,1.0
ah you got me,2,1.0
put it in the,2,3.0
out what to do,2,1.0
a good day but,2,1.0
talk to you but,2,1.0
i love him i,2,1.0
everything is good except,2,1.0
yeeah and it was,2,8.0
ve got to go,2,1.0
next chapter of kiyosaki,2,1.0
but they were too,2,1.0
i went today freakin,2,1.0
says the video is,2,1.0
will have to make,2,1.0
such a shame they,2,1.0
and steve s back,2,1.0
and now its raining,2,1.0
i ll just have,2,1.0
back to work today,2,1.0
i hope you have,2,2.0
watching saturday night live,2,1.0
in the face by,2,1.0
the last couple of,2,1.0
going to attempt to,2,1.0
catch it wo nt,2,1.0
we will miss thomas,2,1.0
just so i can,2,1.0
but it was fun,2,1.0
time i get there,2,1.0
see the jonas brothers,2,1.0
i m not gon,2,1.0
cleaning waiting to read,2,1.0
want to be a,2,1.0
so i had to,2,1.0
give it a try,2,1.0
my best friend is,2,1.0
it looks like it,2,1.0
to get a new,2,1.0
i do nt care,2,1.0
the uk ca nt,2,1.0
morning off to school,2,1.0
its star wars day,2,1.0
have to move on,2,1.0
all of his friends,2,1.0
a great time at,2,2.0
design portfolio is finally,2,1.0
with the rest of,2,1.0
i ca nt remember,2,1.0
out how this works,2,1.0
re gon na make,2,1.0
for a long time,2,1.0
think i ll be,2,1.0
i m stuck inside,2,1.0
need to get a,2,1.0
look better but i,2,1.0
the only thing that,2,1.0
i used to have,2,1.0
thinking about going to,2,1.0
to get rid of,2,1.0
to all graduates such,2,3.0
i love you and,2,1.0
realized that i have,2,1.0
and i wan na,2,1.0
in need of a,2,1.0
should go to bed,2,1.0
i may have to,2,1.0
i m so sad,2,1.0
i m up way,2,2.0
and i dunno if,2,1.0
i think i need,2,1.0
i ll do both,2,1.0
all graduates such a,2,1.0
it s just a,2,1.0
wish i did nt,2,1.0
u live in the,2,1.0
and you never made,2,1.0
im just gon na,2,1.0
to the doctor i,2,1.0
to pick up some,2,1.0
who i have nt,2,1.0
but i had to,2,1.0
for over yrs now,2,1.0
i feel your pain,2,1.0
an hour to get,2,1.0
to buy me this,2,1.0
nowhere to be found,2,1.0
the only way to,2,1.0
going to jack s,2,1.0
on a bank holiday,2,1.0
person in the world,2,1.0
do nt do this,2,2.0
i think we re,2,1.0
far as i know,2,6.0
but it s too,2,1.0
i know i have,2,1.0
is set to private,2,2.0
i did nt want,2,1.0
i want to but,2,1.0
but now it seems,2,1.0
i have to use,2,1.0
watch jay leno tonite,2,1.0
is going to the,2,1.0
go home i m,2,1.0
i woke up to,2,1.0
you but i live,2,1.0
for the weekend not,2,1.0
to get up at,2,1.0
it s called a,2,1.0
dinner with the family,2,1.0
are nt upside down,2,1.0
steve s back of,2,1.0
let me know if,2,1.0
nt be in ny,2,1.0
time to have a,2,1.0
for me this morning,2,1.0
was supposed to be,2,1.0
what r u doing,2,1.0
out of the house,2,1.0
want to change the,2,1.0
at work right now,2,1.0
but i want more,2,1.0
is good except that,2,1.0
for a bit of,2,1.0
last night i do,2,1.0
in and ready to,2,1.0
it was too much,2,1.0
i have nt made,2,1.0
to jump in the,2,1.0
such a beautiful thing,2,1.0
when i m in,2,1.0
i ll send you,2,1.0
to rub it in,2,1.0
to be in a,2,1.0
anyone want to buy,2,1.0
m probably going to,2,1.0
did nt get a,2,1.0
on a roll now,2,1.0
is why i am,2,1.0
i am gon na,2,1.0
sorry i hope you,2,1.0
but i ve got,2,1.0
watch a movie nd,2,1.0
want her to get,2,1.0
nt catch it wo,2,2.0
i ll look for,2,1.0
back from lunch and,2,1.0
just came back from,2,1.0
a lot of coffee,2,1.0
if only was there,2,1.0
i ve got that,2,1.0
you and miss you,2,1.0
m not on the,2,1.0
re better off with,2,1.0
nt know you were,2,1.0
aww i wish i,2,1.0
this is your brain,2,1.0
gon na be on,2,1.0
sure it did nt,2,1.0
like you need a,2,1.0
does not want to,2,1.0
coming to the end,2,1.0
it s supposed to,2,1.0
singing in the rain,2,1.0
see how that goes,2,1.0
my lil man ryan,2,1.0
link does nt work,2,1.0
i think you re,2,1.0
long time now i,2,1.0
a normal day for,2,1.0
do nt know where,2,1.0
tonight mogwai on repeat,2,1.0
is a college graduate,2,1.0
do nt get a,2,1.0
at in the morning,2,1.0
and yes i did,2,2.0
they re making a,2,1.0
in honor of my,2,1.0
i ve never seen,2,1.0
instant internet marketing empire,2,1.0
up way to early,2,1.0
did nt know you,2,1.0
no i have nt,2,1.0
does anyone know how,2,1.0
it s just my,2,1.0
on the phone with,2,1.0
will i go to,2,1.0
happened to me the,2,1.0
with nothing to do,2,1.0
i would love to,2,1.0
why do nt you,2,1.0
the public timeline at,2,1.0
was going to go,2,1.0
on for a while,2,1.0
when are you coming,2,1.0
it s kind of,2,1.0
nt wait to go,2,1.0
sorry to hear about,2,1.0
you are having fun,2,1.0
go to the spring,2,1.0
home in the rain,2,1.0
we have a new,2,1.0
to turn into a,2,1.0
wo nt be getting,2,1.0
i dont want the,2,2.0
me so i can,2,1.0
it s been weeks,2,1.0
if you need to,2,1.0
almost done with my,2,1.0
i d have no,2,1.0
have no sky until,2,1.0
that you do nt,2,1.0
i ve wanted to,2,1.0
i was a lil,2,1.0
even tho it was,2,1.0
to get out of,2,1.0
by the sounds of,2,1.0
post a link to,2,1.0
could have been there,2,1.0
i ll take a,2,10.0
but dont get to,2,1.0
i m glad i,2,1.0
got a bit of,2,1.0
rest of my day,2,1.0
go out tonight but,2,1.0
re not following me,2,1.0
have a great day,2,1.0
to bed now so,2,1.0
hope you had fun,2,1.0
i got ta work,2,1.0
quot there are only,2,1.0
me this anthropomorphic planter,2,1.0
have to figure out,2,1.0
nt have the money,2,1.0
there is no sun,2,1.0
to write it off,2,1.0
going to bed night,2,1.0
nice friends like us,2,1.0
i woke up at,2,1.0
of a new week,2,1.0
me know if you,2,1.0
a time machine to,2,1.0
myself in tonight mogwai,2,1.0
a little cover for,2,1.0
of course it is,2,1.0
gon na be my,2,1.0
u havent voted pls,2,1.0
early to go to,2,1.0
go to the pub,2,1.0
i can make it,2,1.0
it would have been,2,1.0
i ve been wanting,2,1.0
have anything to do,2,2.0
there s a lot,2,4.0
if i can find,2,1.0
i guess that means,2,1.0
to see it in,2,1.0
on the east coast,2,1.0
i get to see,2,1.0
of our roommate era,2,1.0
which one are you,2,1.0
did nt know there,2,1.0
i m not goin,2,1.0
the mtv movie awards,2,1.0
the jonas brothers in,2,1.0
do you wan na,2,1.0
today shame i m,2,1.0
as far as i,2,1.0
but i love you,2,1.0
as well as my,2,2.0
i still do nt,2,1.0
i dont have my,2,1.0
i dont really know,2,1.0
where i am i,2,1.0
going to miss her,2,1.0
and i know it,2,1.0
back to the office,2,1.0
for me but i,2,1.0
i think i might,2,1.0
i m suppose to,2,1.0
think it s safe,2,1.0
know when it s,2,3.0
today and i m,2,1.0
going to the beach,2,1.0
still needs some tweaking,2,1.0
new sms sending solution,2,1.0
wan na watch that,2,1.0
snl with justin timberlake,2,1.0
recoup your investment in,2,1.0
and i ll see,2,1.0
at work thinking about,2,1.0
it s a beautiful,2,1.0
a lot of work,2,1.0
i guess it s,2,1.0
i think you should,2,1.0
month ahaha and i,2,1.0
i am getting a,2,1.0
yes that s what,2,1.0
i m sure the,2,1.0
s ok for now,2,1.0
if i can go,2,1.0
right now but i,2,1.0
quot i wonder if,2,1.0
leaving me for a,2,1.0
what happens when i,2,1.0
i ve been here,2,1.0
and i did nt,2,1.0
is it going to,2,1.0
week if u havent,2,1.0
s book so i,2,1.0
i just spent minutes,2,1.0
but i like the,2,1.0
things to do before,2,1.0
the money right now,2,4.0
no eating here tonite,2,1.0
gon na go watch,2,1.0
you have a point,2,1.0
to bed nighty night,2,1.0
only thing is i,2,1.0
to me the other,2,1.0
i ca nt be,2,4.0
rest of the evening,2,1.0
home but i have,2,1.0
hanging out with my,2,1.0
press ctrl on bottom,2,1.0
it s the final,2,1.0
it shall be mine,2,1.0
the time i get,2,1.0
now i got ta,2,1.0
in a good mood,2,1.0
off to bed i,2,1.0
ahaha and i dunno,2,1.0
is the end of,2,1.0
a whole bunch of,2,1.0
know how you feel,2,1.0
m so sorry to,2,1.0
call me when you,2,1.0
to dye my hair,2,1.0
i need to buy,2,1.0
need to get my,2,1.0
to do on a,2,2.0
to check it out,2,1.0
a bank holiday so,2,5.0
and i m a,2,1.0
ca nt go out,2,1.0
it s raining in,2,1.0
to the fact that,2,1.0
little cover for my,2,1.0
trying to get back,2,1.0
in about an hour,2,1.0
to make up for,2,1.0
can go see the,2,1.0
you have to do,2,1.0
do you have a,2,1.0
let me know how,2,1.0
think i might have,2,1.0
i lost all my,2,1.0
going to be so,2,1.0
did nt realize my,2,1.0
know if i can,2,1.0
i can be there,2,1.0
looking forward to tonight,2,1.0
that reminds me of,2,1.0
quot may the be,2,1.0
no idea what you,2,1.0
but i guess i,2,1.0
it something i said,2,1.0
if you can get,2,1.0
to hang out with,2,1.0
am going to school,2,1.0
love you years ago,2,1.0
i are having a,2,1.0
i m getting more,2,1.0
what i should do,2,1.0
catching up on my,2,1.0
would you do that,2,1.0
for my iphone the,2,1.0
in the sun and,2,1.0
dont want to be,2,1.0
the face by a,2,1.0
you are not old,2,1.0
and it will be,2,1.0
from time to time,2,1.0
days ago it was,2,1.0
few days ago it,2,1.0
i wan na try,2,1.0
part of my neuroanatomy,2,1.0
no not yet i,2,1.0
did you get my,2,1.0
and ready to go,2,1.0
i could see you,2,1.0
put up a pic,2,1.0
i got ta go,2,1.0
in couple of hours,2,2.0
and go to bed,2,1.0
m going to see,2,1.0
wake up early again,2,1.0
know why but i,2,1.0
to go home i,2,1.0
can you follow me,2,1.0
but it s a,2,1.0
did i mention i,2,1.0
know if you come,2,1.0
have to do the,2,1.0
i m tired but,2,1.0
m gon na try,2,5.0
