,frequency,presence,idf,tf-idf
how,385,376.0,5.289186875666786,2036.3369471317126
ll,383,372.0,5.299853643470981,2029.8439454493857
night,380,360.0,5.3325541047819165,2026.3705598171282
think,381,378.0,5.283895858032371,2013.1643219103332
new,378,366.0,5.316070215060226,2009.4745412927655
still,378,374.0,5.294506037144386,2001.323282040578
off,377,374.0,5.294506037144386,1996.0287760034337
na,375,365.0,5.318798729713431,1994.5495236425368
he,365,321.0,5.4468805175703885,1988.1113889131918
much,370,363.0,5.3242781954780565,1969.982932326881
more,363,349.0,5.363498908631338,1946.9501038331757
here,356,346.0,5.372107283167938,1912.470192807786
nice,347,341.0,5.386621326052192,1869.1576001401106
an,337,329.0,5.422339408654271,1827.3283807164894
oh,337,330.0,5.419313687737734,1826.3087127676165
has,330,324.0,5.43760688078506,1794.4102706590697
feel,329,327.0,5.428418454730654,1785.949671606385
wish,327,324.0,5.43760688078506,1778.0974500167144
need,325,321.0,5.4468805175703885,1770.2361682103763
when,310,305.0,5.497846961162416,1704.332557960349
haha,308,297.0,5.524338576609392,1701.4962815956928
would,305,294.0,5.534456706774978,1688.009295566368
re,304,296.0,5.527699924312097,1680.4207769908776
last,301,294.0,5.534456706774978,1665.8714687392683
morning,299,292.0,5.54125945409773,1656.8365767752214
then,297,286.0,5.5619498473551765,1651.8991046644874
or,293,277.0,5.59381094942416,1638.9866081812788
hate,286,275.0,5.601031197397647,1601.894922455727
she,280,244.0,5.7201738525700705,1601.6486787196197
why,282,271.0,5.6156299968188,1583.6076591029016
twitter,280,277.0,5.59381094942416,1566.267065838765
been,277,270.0,5.619313242235096,1556.5497680991216
awesome,277,274.0,5.604660965448226,1552.4910874291586
only,275,270.0,5.619313242235096,1545.3111416146514
her,268,239.0,5.740793139772806,1538.532561459112
better,266,263.0,5.645482959968481,1501.698467351616
very,257,244.0,5.7201738525700705,1470.084680110508
again,256,250.0,5.6959791239830135,1458.1706557396515
tomorrow,256,253.0,5.68409779609626,1455.1290358006427
right,253,249.0,5.699971145252551,1442.0926997488955
could,250,245.0,5.7161005271824346,1429.0251317956086
make,247,246.0,5.71204372648682,1410.8748004422444
yeah,238,230.0,5.779014352593004,1375.4054159171349
week,236,226.0,5.796482045633394,1367.969762769481
ve,231,223.0,5.8097860112597575,1342.060568601004
way,228,225.0,5.800897063842511,1322.6045305560924
should,227,224.0,5.805331660910377,1317.8102870266555
come,224,217.0,5.836937000325708,1307.4738880729587
tonight,223,222.0,5.814260291654678,1296.5800450389931
gon,222,218.0,5.832360333298296,1294.7839939922217
best,222,220.0,5.823269361597045,1292.7657982745438
does,220,215.0,5.846153655430632,1286.153804194739
tired,219,214.0,5.850794034987135,1281.3238936621824
dont,217,210.0,5.86957392963873,1273.6975427316045
getting,218,217.0,5.836937000325708,1272.4522660710045
though,218,217.0,5.836937000325708,1272.4522660710045
thank,218,217.0,5.836937000325708,1272.4522660710045
over,217,213.0,5.855456048092946,1270.6339624361692
sick,216,215.0,5.846153655430632,1262.7691895730165
them,213,204.0,5.898422083976389,1256.3639038869708
sleep,210,203.0,5.903312069270581,1239.695534546822
mother,207,200.0,5.918127155055721,1225.0523210965343
by,204,201.0,5.913164365713593,1206.2855306055728
were,202,195.0,5.94331740388428,1200.5501155846246
d,201,198.0,5.928127238390305,1191.5535749164512
wait,200,198.0,5.928127238390305,1185.625447678061
soo,196,194.0,5.94843250455105,1165.892770892006
people,194,189.0,5.974407990954311,1159.0351502451363
cool,194,190.0,5.969158635068167,1158.0167752032244
next,193,188.0,5.979685048055154,1154.0792142746448
weekend,191,187.0,5.984990100284848,1143.133109154406
bed,189,188.0,5.979685048055154,1130.1604740824241
never,188,184.0,6.001076238036473,1128.2023327508568
sucks,185,185.0,5.995685389401596,1109.2017970392953
watching,181,181.0,6.017425376038002,1089.1539930628783
working,177,175.0,6.050948068076646,1071.0178080495664
little,175,173.0,6.062376763900268,1060.915933682547
him,172,165.0,6.109444274758254,1050.8244152584198
who,168,161.0,6.133835727882413,1030.4844022842453
soon,167,165.0,6.109444274758254,1020.2771938846284
yes,165,155.0,6.17157605586526,1018.3100492177679
say,166,163.0,6.121565635290598,1016.1798954582393
days,166,164.0,6.115486589214217,1015.1707738095599
school,164,159.0,6.14625824788097,1007.9863526524791
hey,163,154.0,6.17800694619555,1007.0151322298747
after,164,162.0,6.127681862308035,1004.9398254185177
long,164,163.0,6.121565635290598,1003.9367641876581
thing,163,159.0,6.14625824788097,1001.8400944045982
mothers,160,145.0,6.237825441406461,998.0520706250337
any,162,159.0,6.14625824788097,995.6938361567172
down,162,160.0,6.140027698130334,994.6844870971141
cant,160,158.0,6.1525278608945655,984.4044577431305
done,156,153.0,6.184479460701168,964.7787958693823
amazing,155,155.0,6.17157605586526,956.5942886591153
having,154,154.0,6.17800694619555,951.4130697141147
even,153,152.0,6.190994141722362,947.2221036835214
ok,152,148.0,6.217485757169338,945.0578350897393
missed,152,151.0,6.197551542268521,942.0278344248152
bored,151,146.0,6.230999476336061,940.8809209267453
show,151,147.0,6.224219789350682,939.857188191953
aww,151,149.0,6.2107967690185415,937.8303121217998
take,151,149.0,6.2107967690185415,937.8303121217998
look,151,150.0,6.204152226299873,936.8269861712807
please,148,136.0,6.301451137286672,932.6147683184274
pretty,150,149.0,6.2107967690185415,931.6195153527813
feeling,149,147.0,6.224219789350682,927.4087486132516
phone,145,134.0,6.316157284676367,915.8428062780732
find,146,144.0,6.244698320694223,911.7259548213565
e,146,145.0,6.237825441406461,910.7225144453432
wan,145,141.0,6.265605005513536,908.5127257994627
glad,145,145.0,6.237825441406461,904.4846890039368
his,144,140.0,6.272672172736629,903.2647928740745
where,144,143.0,6.251618763538796,900.2331019495866
mom,141,134.0,6.316157284676367,890.5781771393678
wo,141,139.0,6.279789640505493,885.4503393112745
being,141,140.0,6.272672172736629,884.4467763558646
sure,140,140.0,6.272672172736629,878.174104183128
doing,140,140.0,6.272672172736629,878.174104183128
us,136,129.0,6.353897612659215,864.1300753216532
first,136,135.0,6.308777177378745,857.9936961235093
yay,135,132.0,6.331082934893043,854.6961962105609
hard,135,135.0,6.308777177378745,851.6849189461306
ur,131,113.0,6.485233614720301,849.5656035283595
excited,134,134.0,6.316157284676367,846.3650761466332
may,133,130.0,6.346234739913646,844.0492204085149
hours,133,131.0,6.338630140528426,843.0378086902807
life,133,132.0,6.331082934893043,842.0340303407747
than,133,133.0,6.323592263163886,841.0377710007969
bit,130,128.0,6.361619658753125,827.0105556379062
our,130,129.0,6.353897612659215,826.006689645698
friday,129,127.0,6.36940179919518,821.6528320961783
always,129,127.0,6.36940179919518,821.6528320961783
let,129,127.0,6.36940179919518,821.6528320961783
another,128,123.0,6.40115049750976,819.3472636812493
everyone,127,124.0,6.393118325812496,811.9260273781871
because,127,124.0,6.393118325812496,811.9260273781871
watch,127,125.0,6.385150156163319,810.9140698327416
looking,124,124.0,6.393118325812496,792.7466724007495
wow,124,124.0,6.393118325812496,792.7466724007495
hurts,124,124.0,6.393118325812496,792.7466724007495
ready,124,124.0,6.393118325812496,792.7466724007495
finally,123,123.0,6.40115049750976,787.3415111937005
something,121,116.0,6.459258128317041,781.5702335263619
guys,121,119.0,6.433940320332751,778.5067787602629
same,121,120.0,6.425641517518056,777.5026236196848
before,121,121.0,6.41741101838154,776.5067332241664
ever,120,116.0,6.459258128317041,775.1109753980448
ugh,119,118.0,6.442308570003267,766.6347198303888
already,119,119.0,6.433940320332751,765.6388981195973
follow,116,109.0,6.520951697322381,756.4303968893962
man,117,117.0,6.450747438649132,754.7374503219485
trying,116,114.0,6.476499934751547,751.2739924311794
house,115,111.0,6.502933191819703,747.8373170592658
movie,115,113.0,6.485233614720301,745.8018656928347
made,115,114.0,6.476499934751547,744.7974924964279
old,114,110.0,6.511901861802463,742.3568122454808
nothing,114,114.0,6.476499934751547,738.3209925616763
poor,113,112.0,6.494044244402456,733.8269996174776
lt,112,107.0,6.539300835990577,732.4016936309447
away,112,110.0,6.511901861802463,729.3330085218759
guess,112,111.0,6.502933191819703,728.3285174838068
thought,112,112.0,6.494044244402456,727.332955373075
friends,111,110.0,6.511901861802463,722.8211066600734
yet,111,111.0,6.502933191819703,721.8255842919871
nan,111,111.0,6.502933191819703,721.8255842919871
maybe,110,109.0,6.520951697322381,717.3046867054619
left,109,107.0,6.539300835990577,712.783791122973
missing,109,108.0,6.530084180885654,711.7791757165362
car,108,103.0,6.5770411639734245,710.3204457091299
into,107,106.0,6.548603228652891,700.7005454658594
funny,107,106.0,6.548603228652891,700.7005454658594
looks,107,106.0,6.548603228652891,700.7005454658594
t,107,107.0,6.539300835990577,699.7051894509917
stupid,106,105.0,6.55799296900273,695.1472547142894
lost,106,105.0,6.55799296900273,695.1472547142894
beautiful,105,104.0,6.567471712957274,689.5845298605137
went,105,104.0,6.567471712957274,689.5845298605137
early,105,105.0,6.55799296900273,688.5892617452866
cute,105,105.0,6.55799296900273,688.5892617452866
someone,105,105.0,6.55799296900273,688.5892617452866
year,104,101.0,6.596459249830526,686.0317619823747
girl,104,104.0,6.567471712957274,683.0170581475564
ya,103,100.0,6.606311546273537,680.4500892661744
ta,103,101.0,6.596459249830526,679.4353027325442
until,103,101.0,6.596459249830526,679.4353027325442
actually,103,103.0,6.5770411639734245,677.4352398892627
other,103,103.0,6.5770411639734245,677.4352398892627
start,102,101.0,6.596459249830526,672.8388434827137
call,101,95.0,6.657083871646961,672.365471036343
big,101,96.0,6.646721084611414,671.3188295457528
monday,101,98.0,6.626312212980207,669.2575335110009
those,100,99.0,6.616261877126706,661.6261877126706
n,99,93.0,6.678137280844793,661.1355908036345
live,98,89.0,6.721622392784532,658.7189944928841
late,99,96.0,6.646721084611414,658.02538737653
said,99,97.0,6.636464584444226,657.0099938599783
gone,99,98.0,6.626312212980207,656.0049090850405
friend,99,99.0,6.616261877126706,655.0099258355439
keep,97,97.0,6.636464584444226,643.7370646910899
omg,96,92.0,6.688832569961542,642.127926716308
things,96,95.0,6.657083871646961,639.0800516781082
also,96,95.0,6.657083871646961,639.0800516781082
enjoy,96,96.0,6.646721084611414,638.0852241226958
hot,95,93.0,6.678137280844793,634.4230416802553
play,95,94.0,6.667555171514256,633.4177412938543
hear,95,95.0,6.657083871646961,632.4229678064613
check,92,81.0,6.814712815850544,626.95357905825
waiting,94,94.0,6.667555171514256,626.7501861223401
till,94,94.0,6.667555171514256,626.7501861223401
luck,94,94.0,6.667555171514256,626.7501861223401
try,92,90.0,6.710572556597947,617.3726752070112
tweet,90,83.0,6.790615264271484,611.1553737844336
o,91,91.0,6.6996434860657565,609.6675572319839
sun,90,88.0,6.732795693382657,605.9516124044392
tell,90,89.0,6.721622392784532,604.9460153506079
welcome,90,90.0,6.710572556597947,603.9515300938152
lovely,90,90.0,6.710572556597947,603.9515300938152
boo,89,88.0,6.732795693382657,599.2188167110565
while,89,89.0,6.721622392784532,598.2243929578234
help,89,89.0,6.721622392784532,598.2243929578234
birthday,88,86.0,6.755523944460213,594.4861071124988
thats,88,86.0,6.755523944460213,594.4861071124988
job,88,87.0,6.74409524863659,593.4803818800199
star,87,86.0,6.755523944460213,587.7305831680386
later,87,86.0,6.755523944460213,587.7305831680386
almost,87,86.0,6.755523944460213,587.7305831680386
forward,87,87.0,6.74409524863659,586.7362866313833
such,87,87.0,6.74409524863659,586.7362866313833
cold,86,83.0,6.790615264271484,583.9929127273476
head,86,84.0,6.77878080662448,582.9751493697053
god,86,84.0,6.77878080662448,582.9751493697053
making,86,85.0,6.76708476686129,581.9692899500709
tho,86,85.0,6.76708476686129,581.9692899500709
two,86,86.0,6.755523944460213,580.9750592235783
hair,85,81.0,6.814712815850544,579.2505893472962
weather,85,83.0,6.790615264271484,577.2022974630761
goodnight,85,84.0,6.77878080662448,576.1963685630808
money,83,78.0,6.8519842106477755,568.7146894837654
rain,83,80.0,6.826982908442358,566.6395814007157
coffee,83,80.0,6.826982908442358,566.6395814007157
few,83,82.0,6.8025914553182,564.6150907914106
everything,83,82.0,6.8025914553182,564.6150907914106
sweet,83,83.0,6.790615264271484,563.6210669345331
song,82,80.0,6.826982908442358,559.8125984922733
lunch,82,82.0,6.8025914553182,557.8124993360924
talk,82,82.0,6.8025914553182,557.8124993360924
lot,82,82.0,6.8025914553182,557.8124993360924
r,81,78.0,6.8519842106477755,555.0107210624698
stuff,81,79.0,6.839405428440916,553.9918397037142
anything,81,80.0,6.826982908442358,552.985615583831
enough,81,80.0,6.826982908442358,552.985615583831
around,81,80.0,6.826982908442358,552.985615583831
leave,81,81.0,6.814712815850544,551.991738083894
coming,81,81.0,6.814712815850544,551.991738083894
times,80,77.0,6.864723236425205,549.1778589140164
myself,80,78.0,6.8519842106477755,548.158736851822
found,80,79.0,6.839405428440916,547.1524342752732
world,80,80.0,6.826982908442358,546.1586326753886
makes,80,80.0,6.826982908442358,546.1586326753886
put,79,76.0,6.877626641261113,543.332504659628
read,79,76.0,6.877626641261113,543.332504659628
mean,79,76.0,6.877626641261113,543.332504659628
hi,78,77.0,6.864723236425205,535.448412441166
hopefully,78,77.0,6.864723236425205,535.448412441166
baby,78,77.0,6.864723236425205,535.448412441166
least,78,77.0,6.864723236425205,535.448412441166
believe,78,78.0,6.8519842106477755,534.4547684305265
playing,77,76.0,6.877626641261113,529.5772513771057
loved,77,77.0,6.864723236425205,528.5836892047408
anyone,77,77.0,6.864723236425205,528.5836892047408
party,76,74.0,6.903943949578487,524.699740167965
far,76,74.0,6.903943949578487,524.699740167965
headache,76,75.0,6.890698722828466,523.6931029349635
wants,76,75.0,6.890698722828466,523.6931029349635
stop,76,76.0,6.877626641261113,522.6996247358446
y,75,74.0,6.903943949578487,517.7957962183865
through,75,74.0,6.903943949578487,517.7957962183865
most,74,73.0,6.917366969910628,511.88515577338643
ha,70,51.0,7.27018834453337,508.9131841173359
might,73,72.0,6.930972621966406,505.96100140354764
buy,72,72.0,6.930972621966406,499.0300287815812
thinking,72,72.0,6.930972621966406,499.0300287815812
must,72,72.0,6.930972621966406,499.0300287815812
use,71,69.0,6.972936821065438,495.0785142956461
super,71,71.0,6.944765944098742,493.0783820310107
give,71,71.0,6.944765944098742,493.0783820310107
stuck,71,71.0,6.944765944098742,493.0783820310107
music,70,68.0,6.987325558517537,489.11278909622763
x,70,69.0,6.972936821065438,488.1055774745806
saw,70,69.0,6.972936821065438,488.1055774745806
totally,70,69.0,6.972936821065438,488.1055774745806
eating,69,66.0,7.016739443723831,484.15502161694434
wanted,69,68.0,6.987325558517537,482.12546353771006
probably,69,69.0,6.972936821065438,481.1326406535152
free,69,69.0,6.972936821065438,481.1326406535152
listening,68,67.0,7.00192435793869,476.1308563398309
didnt,68,67.0,7.00192435793869,476.1308563398309
summer,68,67.0,7.00192435793869,476.1308563398309
wrong,68,67.0,7.00192435793869,476.1308563398309
game,68,67.0,7.00192435793869,476.1308563398309
ahh,68,68.0,6.987325558517537,475.13813797919255
kinda,68,68.0,6.987325558517537,475.13813797919255
hurt,68,68.0,6.987325558517537,475.13813797919255
both,67,66.0,7.016739443723831,470.1215427294967
sounds,67,67.0,7.00192435793869,469.1289319818922
family,67,67.0,7.00192435793869,469.1289319818922
their,67,67.0,7.00192435793869,469.1289319818922
dinner,66,64.0,7.04704479321916,465.10495635246457
ill,66,64.0,7.04704479321916,465.10495635246457
place,66,65.0,7.031777321088372,464.09730319183257
cause,66,66.0,7.016739443723831,463.10480328577285
okay,65,63.0,7.0625489797551255,459.0656836840832
anymore,65,64.0,7.04704479321916,458.05791155924544
seen,65,65.0,7.031777321088372,457.0655258707442
mine,64,63.0,7.0625489797551255,452.00313470432803
since,64,63.0,7.0625489797551255,452.00313470432803
which,64,64.0,7.04704479321916,451.01086676602625
yesterday,64,64.0,7.04704479321916,451.01086676602625
end,64,64.0,7.04704479321916,451.01086676602625
many,63,62.0,7.078297336723264,445.93273221356566
whole,63,63.0,7.0625489797551255,444.9405857245729
sunday,63,63.0,7.0625489797551255,444.9405857245729
eat,62,57.0,7.160989052568378,443.98132125923945
kids,62,61.0,7.094297678069705,439.84645604032175
hell,62,61.0,7.094297678069705,439.84645604032175
wonderful,62,62.0,7.078297336723264,438.8544348768424
these,62,62.0,7.078297336723264,438.8544348768424
woke,61,58.0,7.143894619209077,435.77757177175374
finished,61,60.0,7.110558198941486,433.7440501354306
l,61,61.0,7.094297678069705,432.75215836225203
loves,60,57.0,7.160989052568378,429.65934315410266
class,60,57.0,7.160989052568378,429.65934315410266
forgot,60,59.0,7.127087500892697,427.6252500535618
took,60,59.0,7.127087500892697,427.6252500535618
room,60,59.0,7.127087500892697,427.6252500535618
broke,60,59.0,7.127087500892697,427.6252500535618
says,60,60.0,7.110558198941486,426.6334919364891
without,60,60.0,7.110558198941486,426.6334919364891
cry,59,56.0,7.178380795280247,423.52446692153455
pain,59,58.0,7.143894619209077,421.4897825333356
sadly,59,59.0,7.127087500892697,420.4981625526691
suck,59,59.0,7.127087500892697,420.4981625526691
boring,59,59.0,7.127087500892697,420.4981625526691
hello,58,55.0,7.196080372379648,417.3726615980196
every,58,55.0,7.196080372379648,417.3726615980196
weeks,58,57.0,7.160989052568378,415.3373650489659
win,57,55.0,7.196080372379648,410.17658122563995
wont,57,56.0,7.178380795280247,409.16770533097406
hit,57,57.0,7.160989052568378,408.17637599639755
office,57,57.0,7.160989052568378,408.17637599639755
full,56,54.0,7.214098877882326,403.9895371614102
pic,56,55.0,7.196080372379648,402.9805008532603
busy,55,49.0,7.3094090576866515,402.01749817276584
crazy,56,56.0,7.178380795280247,401.9893245356938
fine,56,56.0,7.178380795280247,401.9893245356938
jealous,56,56.0,7.178380795280247,401.9893245356938
lucky,56,56.0,7.178380795280247,401.9893245356938
meet,56,56.0,7.178380795280247,401.9893245356938
real,56,56.0,7.178380795280247,401.9893245356938
food,55,51.0,7.27018834453337,399.86035894933536
perfect,55,53.0,7.2324480165505225,397.7846409102787
fail,55,54.0,7.214098877882326,396.77543828352793
unfortunately,55,55.0,7.196080372379648,395.78442048088067
part,54,52.0,7.2511401495626755,391.5615680763845
following,54,53.0,7.2324480165505225,390.5521928937282
outside,54,53.0,7.2324480165505225,390.5521928937282
quite,54,53.0,7.2324480165505225,390.5521928937282
kind,54,54.0,7.214098877882326,389.5613394056456
internet,54,54.0,7.214098877882326,389.5613394056456
taking,54,54.0,7.214098877882326,389.5613394056456
ago,53,52.0,7.2511401495626755,384.3104279268218
gets,53,52.0,7.2511401495626755,384.3104279268218
tv,53,53.0,7.2324480165505225,383.3197448771777
hour,53,53.0,7.2324480165505225,383.3197448771777
else,53,53.0,7.2324480165505225,383.3197448771777
favorite,53,53.0,7.2324480165505225,383.3197448771777
followers,52,49.0,7.3094090576866515,380.0892709997059
stay,52,51.0,7.27018834453337,378.0497939157352
th,52,51.0,7.27018834453337,378.0497939157352
aw,52,52.0,7.2511401495626755,377.0592877772591
interesting,52,52.0,7.2511401495626755,377.0592877772591
guy,52,52.0,7.2511401495626755,377.0592877772591
hoping,52,52.0,7.2511401495626755,377.0592877772591
seems,51,51.0,7.27018834453337,370.77960557120184
hahaha,51,51.0,7.27018834453337,370.77960557120184
online,50,50.0,7.289606430390472,364.4803215195236
idea,50,50.0,7.289606430390472,364.4803215195236
drink,50,50.0,7.289606430390472,364.4803215195236
trip,50,50.0,7.289606430390472,364.4803215195236
dead,50,50.0,7.289606430390472,364.4803215195236
problem,50,50.0,7.289606430390472,364.4803215195236
break,49,46.0,7.371284461404739,361.1929386088322
remember,49,47.0,7.350231052206906,360.1613215581384
name,49,48.0,7.32961176500417,359.15097648520435
feels,49,49.0,7.3094090576866515,358.16104382664594
ah,49,49.0,7.3094090576866515,358.16104382664594
holiday,48,47.0,7.350231052206906,352.8110905059315
came,48,48.0,7.32961176500417,351.82136472020017
iphone,47,44.0,7.414769573344477,348.4941699471904
tweets,47,44.0,7.414769573344477,348.4941699471904
mind,47,45.0,7.392790666625702,347.461161331408
minutes,47,45.0,7.392790666625702,347.461161331408
lots,47,45.0,7.392790666625702,347.461161331408
send,47,46.0,7.371284461404739,346.4503696860227
saturday,47,47.0,7.350231052206906,345.4608594537246
raining,47,47.0,7.350231052206906,345.4608594537246
news,46,43.0,7.4372424291965356,342.11315174304065
test,46,44.0,7.414769573344477,341.07940037384594
once,46,45.0,7.392790666625702,340.06837066478226
years,46,45.0,7.392790666625702,340.06837066478226
able,46,46.0,7.371284461404739,339.079085224618
own,46,46.0,7.371284461404739,339.079085224618
cuz,46,46.0,7.371284461404739,339.079085224618
person,46,46.0,7.371284461404739,339.079085224618
ask,46,46.0,7.371284461404739,339.079085224618
running,45,42.0,7.460231947421234,335.71043763395556
lil,45,43.0,7.4372424291965356,334.6759093138441
sometimes,45,44.0,7.414769573344477,333.66463080050147
book,45,44.0,7.414769573344477,333.66463080050147
computer,45,44.0,7.414769573344477,333.66463080050147
hungry,45,45.0,7.392790666625702,332.6755799981566
video,45,45.0,7.392790666625702,332.6755799981566
blog,45,45.0,7.392790666625702,332.6755799981566
change,44,41.0,7.483762444831429,329.28554757258286
rock,44,42.0,7.460231947421234,328.2502056865343
awake,44,42.0,7.460231947421234,328.2502056865343
run,44,43.0,7.4372424291965356,327.23866688464756
heart,44,43.0,7.4372424291965356,327.23866688464756
facebook,44,43.0,7.4372424291965356,327.23866688464756
either,44,44.0,7.414769573344477,326.249861227157
breakfast,44,44.0,7.414769573344477,326.249861227157
turn,44,44.0,7.414769573344477,326.249861227157
horrible,44,44.0,7.414769573344477,326.249861227157
b,43,41.0,7.483762444831429,321.80178512775143
yea,43,41.0,7.483762444831429,321.80178512775143
shopping,43,41.0,7.483762444831429,321.80178512775143
mum,43,42.0,7.460231947421234,320.78997373911307
tea,43,42.0,7.460231947421234,320.78997373911307
goin,43,42.0,7.460231947421234,320.78997373911307
dad,43,42.0,7.460231947421234,320.78997373911307
used,43,42.0,7.460231947421234,320.78997373911307
shame,43,43.0,7.4372424291965356,319.801424455451
died,43,43.0,7.4372424291965356,319.801424455451
concert,43,43.0,7.4372424291965356,319.801424455451
sitting,43,43.0,7.4372424291965356,319.801424455451
congrats,43,43.0,7.4372424291965356,319.801424455451
fair,43,43.0,7.4372424291965356,319.801424455451
sore,43,43.0,7.4372424291965356,319.801424455451
tried,43,43.0,7.4372424291965356,319.801424455451
needs,43,43.0,7.4372424291965356,319.801424455451
dude,42,41.0,7.483762444831429,314.31802268292
evening,42,41.0,7.483762444831429,314.31802268292
writing,42,41.0,7.483762444831429,314.31802268292
hmm,42,41.0,7.483762444831429,314.31802268292
special,42,42.0,7.460231947421234,313.32974179169184
post,42,42.0,7.460231947421234,313.32974179169184
upset,42,42.0,7.460231947421234,313.32974179169184
high,42,42.0,7.460231947421234,313.32974179169184
told,42,42.0,7.460231947421234,313.32974179169184
enjoying,42,42.0,7.460231947421234,313.32974179169184
fan,42,42.0,7.460231947421234,313.32974179169184
talking,42,42.0,7.460231947421234,313.32974179169184
picture,41,39.0,7.532552609000861,308.83465696903534
bday,41,40.0,7.507859996410489,307.82225985283003
beach,41,40.0,7.507859996410489,307.82225985283003
goes,41,40.0,7.507859996410489,307.82225985283003
alone,41,40.0,7.507859996410489,307.82225985283003
trek,41,40.0,7.507859996410489,307.82225985283003
ice,41,40.0,7.507859996410489,307.82225985283003
til,41,41.0,7.483762444831429,306.8342602380886
worth,41,41.0,7.483762444831429,306.8342602380886
